iShares S&P Small-Cap 600 Growth ETF
Fund Holdings as of,"Apr 08, 2026"
Inception Date,"Jul 24, 2000"
Shares Outstanding,"44,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"SPHR","SPHERE ENTERTAINMENT CLASS A","EQUITY","Communication","Equity","30,179,574.96","30,179,574.96","230,484.00","130.94","United States","NYSE","USD","1.00","USD","-","0.44","0.44"
"ACA","ARCOSA INC","EQUITY","Industrials","Equity","29,910,426.60","29,910,426.60","271,666.00","110.10","United States","NYSE","USD","1.00","USD","-","0.43","0.44"
"CALM","CAL MAINE FOODS INC","EQUITY","Consumer Staples","Equity","29,879,422.44","29,879,422.44","387,692.00","77.07","United States","NASDAQ","USD","1.00","USD","-","0.43","0.44"
"LIF","LIFE360 INC","EQUITY","Information Technology","Equity","29,835,799.53","29,835,799.53","678,549.00","43.97","United States","NASDAQ","USD","1.00","USD","-","0.43","0.43"
"CWEN","CLEARWAY ENERGY INC CLASS C","EQUITY","Utilities","Equity","29,791,402.97","29,791,402.97","734,321.00","40.57","United States","NYSE","USD","1.00","USD","-","0.43","0.43"
"PLMR","PALOMAR HOLDINGS INC","EQUITY","Financials","Equity","29,439,767.85","29,439,767.85","229,371.00","128.35","United States","NASDAQ","USD","1.00","USD","-","0.43","0.43"
"GTES","GATES INDUSTRIAL PLC","EQUITY","Industrials","Equity","29,079,325.77","29,079,325.77","1,186,427.00","24.51","United States","NYSE","USD","1.00","USD","-","0.42","0.42"
"NE","NOBLE CORPORATION PLC","EQUITY","Energy","Equity","29,029,406.72","29,029,406.72","576,896.00","50.32","United States","NYSE","USD","1.00","USD","-","0.42","0.42"
"BCPC","BALCHEM CORP","EQUITY","Materials","Equity","28,783,518.75","28,783,518.75","165,375.00","174.05","United States","NASDAQ","USD","1.00","USD","-","0.42","0.42"
"MKTX","MARKETAXESS HOLDINGS INC","EQUITY","Financials","Equity","28,640,503.80","28,640,503.80","161,948.00","176.85","United States","NASDAQ","USD","1.00","USD","-","0.41","0.42"
"SXI","STANDEX INTERNATIONAL CORP","EQUITY","Industrials","Equity","28,616,593.04","28,616,593.04","104,888.00","272.83","United States","NYSE","USD","1.00","USD","-","0.41","0.42"
"RUN","SUNRUN INC","EQUITY","Industrials","Equity","27,854,982.30","27,854,982.30","2,008,290.00","13.87","United States","NASDAQ","USD","1.00","USD","-","0.40","0.41"
"OPLN","OPENLANE INC","EQUITY","Industrials","Equity","27,526,351.63","27,526,351.63","919,691.00","29.93","United States","NYSE","USD","1.00","USD","-","0.40","0.40"
"LTH","LIFE TIME GROUP HOLDINGS INC","EQUITY","Consumer Discretionary","Equity","27,041,038.36","27,041,038.36","948,143.00","28.52","United States","NYSE","USD","1.00","USD","-","0.39","0.39"
"INSW","INTERNATIONAL SEAWAYS INC","EQUITY","Energy","Equity","26,785,907.55","26,785,907.55","350,555.00","76.41","United States","NYSE","USD","1.00","USD","-","0.39","0.39"
"LUMN","LUMEN TECHNOLOGIES INC","EQUITY","Communication","Equity","26,055,721.64","26,055,721.64","3,674,996.00","7.09","United States","NYSE","USD","1.00","USD","-","0.38","0.38"
"ABCB","AMERIS BANCORP","EQUITY","Financials","Equity","26,040,549.00","26,040,549.00","316,795.00","82.20","United States","NYSE","USD","1.00","USD","-","0.38","0.38"
"CALX","CALIX NETWORKS INC","EQUITY","Information Technology","Equity","26,015,682.56","26,015,682.56","521,984.00","49.84","United States","NYSE","USD","1.00","USD","-","0.38","0.38"
"PIPR","PIPER SANDLER COMPANIES","EQUITY","Financials","Equity","25,767,821.72","25,767,821.72","315,937.00","81.56","United States","NYSE","USD","1.00","USD","-","0.37","0.38"
"NMIH","NMI HOLDINGS INC","EQUITY","Financials","Equity","25,604,920.05","25,604,920.05","658,055.00","38.91","United States","NASDAQ","USD","1.00","USD","-","0.37","0.37"
"DORM","DORMAN PRODUCTS INC","EQUITY","Consumer Discretionary","Equity","25,563,614.40","25,563,614.40","240,712.00","106.20","United States","NASDAQ","USD","1.00","USD","-","0.37","0.37"
"MWA","MUELLER WATER PRODUCTS INC SERIES","EQUITY","Industrials","Equity","25,548,462.72","25,548,462.72","879,768.00","29.04","United States","NYSE","USD","1.00","USD","-","0.37","0.37"
"CPRX","CATALYST PHARMACEUTICALS INC","EQUITY","Health Care","Equity","25,308,962.29","25,308,962.29","999,959.00","25.31","United States","NASDAQ","USD","1.00","USD","-","0.37","0.37"
"ADEA","ADEIA INC","EQUITY","Information Technology","Equity","24,832,176.60","24,832,176.60","947,793.00","26.20","United States","NASDAQ","USD","1.00","USD","-","0.36","0.36"
"PI","IMPINJ INC","EQUITY","Information Technology","Equity","24,595,940.64","24,595,940.64","232,872.00","105.62","United States","NASDAQ","USD","1.00","USD","-","0.36","0.36"
"ACAD","ACADIA PHARMACEUTICALS INC","EQUITY","Health Care","Equity","24,444,707.52","24,444,707.52","1,083,542.00","22.56","United States","NASDAQ","USD","1.00","USD","-","0.35","0.36"
"REZI","RESIDEO TECHNOLOGIES INC","EQUITY","Industrials","Equity","24,433,318.20","24,433,318.20","667,577.00","36.60","United States","NYSE","USD","1.00","USD","-","0.35","0.36"
"OUT","OUTFRONT MEDIA INC","EQUITY","Real Estate","Equity","24,403,951.50","24,403,951.50","856,279.00","28.50","United States","NYSE","USD","1.00","USD","-","0.35","0.36"
"ACIW","ACI WORLDWIDE INC","EQUITY","Information Technology","Equity","24,367,026.80","24,367,026.80","588,860.00","41.38","United States","NASDAQ","USD","1.00","USD","-","0.35","0.35"
"PECO","PHILLIPS EDISON AND COMPANY INC","EQUITY","Real Estate","Equity","24,028,308.65","24,028,308.65","631,493.00","38.05","United States","NASDAQ","USD","1.00","USD","-","0.35","0.35"
"RRR","RED ROCK RESORTS ORS CLASS A INC","EQUITY","Consumer Discretionary","Equity","23,975,848.91","23,975,848.91","420,113.00","57.07","United States","NASDAQ","USD","1.00","USD","-","0.35","0.35"
"MAC","MACERICH REIT","EQUITY","Real Estate","Equity","23,837,132.88","23,837,132.88","1,152,666.00","20.68","United States","NYSE","USD","1.00","USD","-","0.34","0.35"
"ITRI","ITRON INC","EQUITY","Information Technology","Equity","23,591,284.03","23,591,284.03","253,697.00","92.99","United States","NASDAQ","USD","1.00","USD","-","0.34","0.34"
"SKT","TANGER INC","EQUITY","Real Estate","Equity","23,526,494.96","23,526,494.96","657,532.00","35.78","United States","NYSE","USD","1.00","USD","-","0.34","0.34"
"GOLF","ACUSHNET HOLDINGS CORP","EQUITY","Consumer Discretionary","Equity","23,496,911.40","23,496,911.40","238,620.00","98.47","United States","NYSE","USD","1.00","USD","-","0.34","0.34"
"JOE","ST JOE","EQUITY","Real Estate","Equity","23,283,934.40","23,283,934.40","344,845.00","67.52","United States","NYSE","USD","1.00","USD","-","0.34","0.34"
"CURB","CURBLINE PROPERTIES","EQUITY","Real Estate","Equity","22,954,739.04","22,954,739.04","838,989.00","27.36","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"CSW","CSW INDUSTRIALS INC","EQUITY","Industrials","Equity","22,953,337.88","22,953,337.88","82,676.00","277.63","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"PRVA","PRIVIA HEALTH GROUP INC","EQUITY","Health Care","Equity","22,725,692.61","22,725,692.61","1,000,691.00","22.71","United States","NASDAQ","USD","1.00","USD","-","0.33","0.33"
"MRP","MILLROSE PROPERTIES INC CLASS A","EQUITY","Real Estate","Equity","22,706,308.80","22,706,308.80","787,320.00","28.84","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"WAY","WAYSTAR HOLDING CORP","EQUITY","Health Care","Equity","22,502,616.45","22,502,616.45","993,493.00","22.65","United States","NASDAQ","USD","1.00","USD","-","0.33","0.33"
"RAL","RALLIANT CORP","EQUITY","Information Technology","Equity","22,460,028.64","22,460,028.64","507,686.00","44.24","United States","NYSE","USD","1.00","USD","-","0.32","0.33"
"MMSI","MERIT MEDICAL SYSTEMS INC","EQUITY","Health Care","Equity","22,384,045.68","22,384,045.68","323,282.00","69.24","United States","NASDAQ","USD","1.00","USD","-","0.32","0.33"
"PLXS","PLEXUS CORP","EQUITY","Information Technology","Equity","22,352,793.91","22,352,793.91","102,007.00","219.13","United States","NASDAQ","USD","1.00","USD","-","0.32","0.33"
"VCYT","VERACYTE INC","EQUITY","Health Care","Equity","22,351,441.86","22,351,441.86","684,158.00","32.67","United States","NASDAQ","USD","1.00","USD","-","0.32","0.33"
"RDNT","RADNET INC","EQUITY","Health Care","Equity","21,571,419.84","21,571,419.84","385,824.00","55.91","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"MCY","MERCURY GENERAL CORP","EQUITY","Financials","Equity","21,396,929.52","21,396,929.52","230,124.00","92.98","United States","NYSE","USD","1.00","USD","-","0.31","0.31"
"ACMR","ACM RESEARCH CLASS A INC","EQUITY","Information Technology","Equity","21,279,306.60","21,279,306.60","461,190.00","46.14","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"TBBK","BANCORP INC","EQUITY","Financials","Equity","21,089,117.28","21,089,117.28","366,576.00","57.53","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"SKYW","SKYWEST INC","EQUITY","Industrials","Equity","20,479,610.25","20,479,610.25","215,235.00","95.15","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"VRRM","VERRA MOBILITY CORP CLASS A","EQUITY","Industrials","Equity","20,454,979.60","20,454,979.60","1,381,160.00","14.81","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"LMAT","LEMAITRE VASCULAR INC","EQUITY","Health Care","Equity","20,309,676.75","20,309,676.75","180,675.00","112.41","United States","NASDAQ","USD","1.00","USD","-","0.29","0.30"
"RDN","RADIAN GROUP INC","EQUITY","Financials","Equity","20,272,573.97","20,272,573.97","586,421.00","34.57","United States","NYSE","USD","1.00","USD","-","0.29","0.30"
"ADMA","ADMA BIOLOGICS INC","EQUITY","Health Care","Equity","20,254,606.87","20,254,606.87","2,060,489.00","9.83","United States","NASDAQ","USD","1.00","USD","-","0.29","0.30"
"BGC","BGC GROUP INC CLASS A","EQUITY","Financials","Equity","20,158,458.48","20,158,458.48","1,854,504.00","10.87","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"CHEF","CHEFS WAREHOUSE INC","EQUITY","Consumer Staples","Equity","19,836,351.80","19,836,351.80","313,420.00","63.29","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"WHD","CACTUS INC CLASS A","EQUITY","Energy","Equity","19,781,155.80","19,781,155.80","375,354.00","52.70","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"IRDM","IRIDIUM COMMUNICATIONS INC","EQUITY","Communication","Equity","19,165,181.94","19,165,181.94","553,587.00","34.62","United States","NASDAQ","USD","1.00","USD","-","0.28","0.28"
"CSGS","CSG SYSTEMS INTERNATIONAL INC","EQUITY","Industrials","Equity","18,732,025.80","18,732,025.80","233,858.00","80.10","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"COCO","THE VITA COCO COMPANY INC","EQUITY","Consumer Staples","Equity","18,663,987.28","18,663,987.28","379,658.00","49.16","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"BOX","BOX INC CLASS A","EQUITY","Information Technology","Equity","18,618,755.50","18,618,755.50","803,225.00","23.18","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
"NHC","NATIONAL HEALTHCARE CORP","EQUITY","Health Care","Equity","18,516,674.88","18,516,674.88","107,424.00","172.37","United States","Nyse Mkt Llc","USD","1.00","USD","-","0.27","0.27"
"OII","OCEANEERING INTERNATIONAL INC","EQUITY","Energy","Equity","18,505,257.92","18,505,257.92","509,506.00","36.32","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
